X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,FRENCH_NAME,ENGLISH_NAME_ALT,FRENCH_NAME_ALT,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-80.019170446161382,45.342311943451982,125279411,4106,Laboratory - Hospital,Hospital Laboratory - Rural Hospital,West Parry Sound Health Centre,,,,6 Albert Street,,,Parry Sound,P2A3A4,2019-02-12T12:37:03.000Z,2019-02-11T09:36:04.000Z,2019-02-12T23:17:15.000Z,40081
-79.474942823331929,43.767662800869658,125310565,8781,Pharmacy,RP,Sultan Pharmacy,,,,1118 Finch Avenue West,Unit 8,,Toronto,M3J3J4,2019-02-12T12:34:06.000Z,2019-02-11T10:40:34.000Z,2019-02-12T23:17:15.000Z,40145
-75.64362961466334,45.354345045686976,125310192,6324,Pharmacy,RP,Bank Street Pharmacy,,,,2531 -a Bank Street,,,Ottawa,K1V8R9,2019-02-12T13:14:32.000Z,2019-02-11T10:39:46.000Z,2019-02-12T23:17:15.000Z,40241
-75.306750295769376,45.268330844964467,125292887,7175,Pharmacy,RP,Shoppers Drug Mart #1316,,,,703 Notre Dame Street,R.R. 3,,Embrun,K0A1W1,2019-02-12T13:10:35.000Z,2019-02-11T10:02:51.000Z,2019-02-12T23:17:15.000Z,40289
-79.20537504170467,43.818456922280724,125300909,10000000097,Senior Active Living Centre,Site,Malvern Family Resource Centre,,,,90 Littles Road,,,Toronto,M1B5E2,2019-02-12T12:21:59.000Z,2019-02-11T10:18:49.000Z,2019-07-18T00:00:00.000Z,40417
-79.376514782503321,43.661043686758539,125310850,10000000065,AIDS Bureau,CBAESP,Ontario AIDS Network,,,,296 Jarvis Street,Unit 5,Practice Location,Toronto,M5A1T7,2019-02-12T13:25:09.000Z,2019-02-11T10:41:13.000Z,2019-02-12T23:17:15.000Z,40481
-78.558302776440442,44.299489935873702,125311577,10616,Pharmacy,RP,Countryside Pharmacy,,,,19 King Street East,,,Kawartha Lakes,K0L2W0,2019-02-12T12:34:18.000Z,2019-02-11T10:42:43.000Z,2019-02-12T23:17:15.000Z,40513
-79.433118607122495,43.735382197167205,125303845,T0264,Retirement Home,Site,Terrace Gardens,,,,3705 Bathurst Street,,Residential,Toronto,M6A2E8,2019-02-12T13:13:01.000Z,2019-02-11T10:25:46.000Z,2019-02-12T23:17:15.000Z,40561
-79.631129850122292,43.507663447962649,125295058,11391,Pharmacy,RP,Shoppers Drug Mart #695,,,,920 Southdown Road,,,Mississauga,L5J2Y4,2019-02-12T13:21:27.000Z,2019-02-11T10:07:09.000Z,2019-02-12T23:17:15.000Z,40577
-80.511310124761806,43.457842897656676,125280138,3226,Laboratory - Specimen Collection Centre,Specimen Collection Centre - Private SCC,LifeLabs,,,,18 Pine Street,Suite 103,,Kitchener,N1H5Z8,2019-02-12T12:57:45.000Z,2019-02-11T09:37:19.000Z,2019-02-12T23:17:15.000Z,40593
-80.271892257318825,43.550220425260648,125311127,3011,Long-Term Care Home,CHFA,"St. Joseph's Health Centre, Guelph",,,,100 Westmount Road,,,Guelph,N1H5H8,2019-02-12T12:54:28.000Z,2019-02-11T10:41:49.000Z,2019-02-12T23:17:15.000Z,40657
-80.212530626589484,44.502640992586755,125305214,10000000039,Senior Active Living Centre,Site,Collingwood Leisure Time Club Inc.,,,,100 Minnesota Street,,,Collingwood,L9Y4R5,2019-02-12T13:23:52.000Z,2019-02-11T10:28:56.000Z,2019-07-18T00:00:00.000Z,40769
-80.247477316529881,43.178539861020504,125273184,2678,Long-Term Care Home,NH for-profit,Brierwood Gardens,,,,425 Park Road North,,,Brantford,N3R7G5,2019-02-12T12:15:41.000Z,2019-02-11T09:17:26.000Z,2019-02-12T23:17:15.000Z,40833
-79.312615074105125,43.797136813579499,125289710,5596,Pharmacy,RP,Trillium Pharmacy,,,,3443 Finch Avenue East,,,Toronto,M1W2S1,2019-02-12T12:59:59.000Z,2019-02-11T09:56:42.000Z,2019-02-12T23:17:15.000Z,40849
-78.943960364991014,43.897897348235837,125291031,10000000251,Senior Active Living Centre,Site,The Town of Whitby,,,,575 Rossland Road East,,,Whitby,L1N2M8,2019-02-12T13:10:08.000Z,2019-02-11T09:59:15.000Z,2019-07-18T00:00:00.000Z,40945
-80.203814683978621,44.078738020348439,125285146,6816,Pharmacy,RP,Caravaggio Ida Drugs,,,,128 Main Street East,Postal Office Box 910,,Horning's Mills,L9V3K5,2019-02-12T12:48:26.000Z,2019-02-11T09:47:34.000Z,2019-02-12T23:17:15.000Z,40977
-82.410019511082112,49.417692343444266,125314197,4812,Pharmacy,LTCF,Extendicare/kapuskasing,,,,45 Ontario Street,,,Kapuskasing,P5N2Y5,2019-02-12T12:25:01.000Z,2019-02-11T10:47:51.000Z,2019-02-12T23:17:15.000Z,41009
-82.73733149268233,42.0501366402899,125272560,10760,Pharmacy,LTCF,Chartwell Royal Oak Ltc Reside,,,,1750 Division Road North,,,Kingsville,N9Y4G7,2019-02-12T12:55:57.000Z,2019-02-11T09:15:18.000Z,2019-02-12T23:17:15.000Z,41025
-79.419181494552973,43.643320981667536,125299625,4266,Laboratory - Hospital,Hospital Laboratory - Urban Hospital,Centre for Addiction and Mental Health,,,,100 Stokes Street,,,Toronto,M6J1H4,2019-02-12T12:41:28.000Z,2019-02-11T10:15:50.000Z,2019-02-12T23:17:15.000Z,44097
-78.2960094616666,43.95391358750652,125288396,7336,Pharmacy,RP,Port Hope Community Pharmacy,,,,50 Cavan Street,Unit 2,,Port Hope,L1A4B1,2019-02-12T12:39:02.000Z,2019-02-11T09:54:05.000Z,2019-02-12T23:17:15.000Z,44113
-79.604101265281358,43.776030796295068,125290777,10042,Pharmacy,RP,Pro Pharmacy,,,,25 Woodstream Boulevard,Unit 6,,Vaughan,L4L7Y8,2019-02-12T13:10:04.000Z,2019-02-11T09:58:47.000Z,2019-02-12T23:17:15.000Z,44177
-83.10986831117205,42.09657633014757,125282972,1244,Pharmacy,RP,Wal-Mart Pharmacy,,,,400 Sandwich Street South,,,Amherstburg,N9V3L4,2019-02-12T12:37:47.000Z,2019-02-11T09:43:11.000Z,2019-02-12T23:17:15.000Z,44305
-79.238916780604796,42.985017173160145,125285170,6856,Pharmacy,RP,Lincoln Centre Pharmacy,,,,390 Lincoln Street,Unit B,,Welland,L3B4N4,2019-02-12T13:19:06.000Z,2019-02-11T09:47:38.000Z,2019-02-12T23:17:15.000Z,44321
-79.393473490115667,43.686055190362154,125312195,3727,Laboratory - Specimen Collection Centre,Specimen Collection Centre - Private SCC,LifeLabs,,,,1366 Yonge Street,,,Toronto,M4T3A7,2019-02-12T12:54:44.000Z,2019-02-11T10:43:59.000Z,2019-02-12T23:17:15.000Z,44353
-79.818822093671244,43.324493206910496,125296013,217,Pharmacy,RP,Shoppers Drug Mart #747,,,,900 Maple Avenue,Unit A6A,,Burlington,L7S2J8,2019-02-12T12:20:49.000Z,2019-02-11T10:08:56.000Z,2019-02-12T23:17:15.000Z,44369
-79.883206130518715,43.510925336749594,125271517,10000000104,Senior Active Living Centre,Site,Milton Seniors Activity Centre,,,,150 Mary Street,,,Milton,L9T6Z5,2019-02-12T13:15:54.000Z,2019-02-11T09:12:29.000Z,2019-07-18T00:00:00.000Z,44577
-79.358395378184142,43.677665690516598,125270222,7405,Pharmacy,RP,Procare Ida Pharmacy,,,,795 Broadview Avenue,,,Toronto,M4K2P8,2019-02-12T13:26:08.000Z,2019-02-11T09:09:58.000Z,2019-02-12T23:17:15.000Z,44673
-79.489657276343223,46.350139735167886,125297415,21800,Mental Health and Addiction Organization,Mental Health Services,North Bay Regional Health Centre,,,,105 Larocque Road,,Practice Location,North Bay,P1B8G3,2019-02-12T13:11:35.000Z,2019-02-11T10:11:39.000Z,2019-02-12T23:17:15.000Z,44833
-76.520531311881939,44.260017118848644,125278561,3858202,Independent Health Facility,Gen Ultrasound,Kingston Fertility Centre,,The Ottawa Fertility Centre Inc.,,1473 John Counter Boulevard,Suite 202,Practice Address,Kingston,K7M8Z6,2019-02-12T12:46:57.000Z,2019-02-11T09:34:26.000Z,2019-02-12T23:17:15.000Z,44849
-79.052282312868087,42.883154663291677,125277979,1528,Pharmacy,RP,Boggio & Edwards Ridgeway Ida,,,,307 Ridge Road North,,,Fort Erie,L0S1N0,2019-02-12T12:36:45.000Z,2019-02-11T09:33:12.000Z,2019-02-12T23:17:15.000Z,44913
-79.566543883693214,44.113547256764029,125299201,7657,Pharmacy,RP,Bradford Drug Mart,,,,54 Holland Street West,,,Bradford West Gwillimbury,L3Z2B8,2019-02-12T12:21:37.000Z,2019-02-11T10:15:02.000Z,2019-02-12T23:17:15.000Z,44961
-80.49360601861774,43.451764197438933,125295074,8787,Pharmacy,RP,Shoppers Drug Mart #1087,,,,250 King Street West,,,Kitchener,N2G1B6,2019-02-12T13:01:08.000Z,2019-02-11T10:07:10.000Z,2019-02-12T23:17:15.000Z,44993
-79.464005416639878,43.731560995060008,125310880,6279,Pharmacy,RP,Nhatrang Drug Mart Inc.,,,,736 Wilson Avenue,,,Toronto,M3K1E4,2019-02-12T13:25:10.000Z,2019-02-11T10:41:17.000Z,2019-02-12T23:17:15.000Z,45009
-79.388749495835398,43.767875304920828,125279089,9,Community Support Service,Site,North Yorkers for Disabled Persons Inc,,North Yorkers for Disabled Persons Inc.,,2880 Bayview Avenue,,Administrative Office,Toronto,M2N5K3,2019-02-12T12:27:07.000Z,2019-02-11T09:35:27.000Z,2019-02-12T23:17:15.000Z,45265
-79.417464006184829,43.781197905916116,125294086,10000000121,Senior Active Living Centre,Site,North York Seniors Centre - Multicultural,,,,21 Hendon Avenue,,,Toronto,M2M4G7,2019-02-12T13:00:57.000Z,2019-02-11T10:05:18.000Z,2019-07-18T00:00:00.000Z,45425
-82.825241430781603,42.174630458176139,125305219,9999999996,Nurse Practitioner Led Clinic,Site,Essex County,,,,35 Victoria Avenue,Unit 6,,Essex,N8M1M4,2019-02-12T13:13:23.000Z,2019-02-11T10:28:57.000Z,2019-02-12T23:17:15.000Z,45473
-75.767517155243624,45.348825839529773,125293850,5106332,Independent Health Facility,Opth Utrasnd,Ottawa Eye Associates,,Dr. Brent J. MacInnis,,1 Centrepointe Drive,Suite 210,Practice Address,Ottawa,K2G6E2,2019-02-12T13:10:50.000Z,2019-02-11T10:04:52.000Z,2019-02-12T23:17:15.000Z,45537
-79.442302913506822,43.77434320355993,125308350,3539,Laboratory - Specimen Collection Centre,Specimen Collection Centre - Private SCC,LifeLabs,,,,4949 Bathurst Street,,,Toronto,M2R1Y1,2019-02-12T12:53:52.000Z,2019-02-11T10:35:54.000Z,2019-02-12T23:17:15.000Z,45601
-79.691475278014593,43.606198962465136,125296133,3106,Pharmacy,RP,Guardian Matheson Pharmacy,,,,801 Matheson Boulevard,Unit 14,,Mississauga,L5V2N6,2019-02-12T12:40:46.000Z,2019-02-11T10:09:10.000Z,2019-02-12T23:17:15.000Z,45649
-74.626562272161522,45.298000977767934,125287936,16169,Mental Health and Addiction Organization,Addiction Services,Cornwall Community Hospital,,,,555 Main Street South,,Practice Location,Alexandria,K0C1A0,2019-02-12T12:19:01.000Z,2019-02-11T09:53:08.000Z,2019-02-12T23:17:15.000Z,45729
-79.503137763541019,44.115119760026822,125287244,1872,Pharmacy,HSC,Gordon Residence,,,,105 Sand Road,,,East Gwillimbury,L9N1H9,2019-02-12T12:28:56.000Z,2019-02-11T09:51:44.000Z,2019-02-12T23:17:15.000Z,45777
-83.040400409387431,42.313049972061648,125292897,7430,Pharmacy,RP,Church Street Pharmacy,,,,366 Wyandotte Street West,,,Windsor,N9A5X2,2019-02-12T13:10:36.000Z,2019-02-11T10:02:52.000Z,2019-02-12T23:17:15.000Z,45841
-79.590415245666605,43.604176066829289,125272800,5313,Pharmacy,RP,Dundas Pharmacy,,,,1133 Dundas Street East,Unit 8,,Mississauga,L4Y2C3,2019-02-12T12:45:31.000Z,2019-02-11T09:16:05.000Z,2019-02-12T23:17:15.000Z,45857
-79.246865897861497,43.159383003956677,125288497,12333,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (CMHA) Niagara Branch,,,,,,Practice Location,St. Catharines,,2019-02-12T13:09:36.000Z,2019-02-11T09:54:17.000Z,2019-02-12T23:17:15.000Z,45937
-79.562046037094717,43.609415169071283,125274035,4167,Laboratory - Hospital,Hospital Laboratory - Urban Hospital,Trillium Health Partners - Queensway Health Centre,,,,150 Sherway Drive,,,Toronto,M9C1A5,2019-02-12T13:16:29.000Z,2019-02-11T09:20:27.000Z,2019-02-12T23:17:15.000Z,45953
-78.673612779484316,43.912120663092061,125296667,2605,Long-Term Care Home,NH for-profit,Glen Hill Strathaven,,,,264 King Street East,,,Bowmanville,L1C1P9,2019-02-12T12:51:05.000Z,2019-02-11T10:10:16.000Z,2019-02-12T23:17:15.000Z,46017
-79.412454014968091,43.897858326525871,125271406,T0225,Retirement Home,Site,Brookside Court/Hilltop Place,,,,1000 Elgin Mills Road,Unit 980,Residential,Richmond Hill,L4S1M4,2019-02-12T13:05:56.000Z,2019-02-11T09:12:17.000Z,2019-02-12T23:17:15.000Z,46177
-81.788859355693845,42.682423499307049,125277844,10000000026,Hospital - Corporation,Site,Four Counties Health Services,,Four Counties Health Services Corporation,,1824 Concession Dr,,,Newbury,N0L1Z0,2019-02-12T13:07:22.000Z,2019-02-11T09:32:53.000Z,2019-02-12T23:17:15.000Z,46257
-79.333356886168048,43.858414023328955,125307148,2611,Pharmacy,RP,The Drugstore Pharmacy #4256,,,,8601 Warden Avenue,,,Markham,L3R0B5,2019-02-12T13:03:52.000Z,2019-02-11T10:33:24.000Z,2019-02-12T23:17:15.000Z,46401
-81.140838446282316,44.741981586966631,125290737,3814,Mental Health and Addiction Organization,Mental Health Services,HopeGreyBruce Mental Health and Addictions Services,,,,,,Practice Location,Wiarton,,2019-02-12T12:49:47.000Z,2019-02-11T09:58:43.000Z,2019-02-12T23:17:15.000Z,46433
